epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,593.219,0.45692,0.88726,0.73936,0.9746,0,0.60457,0.68962,0.63889,0.55175,0.60457,0.68962,0.64106,0.55698,0.62881,1.34039,1.47038,1.12937,0,0.0001337,0.0001337,0.0001337
39,609.121,0.45356,0.93248,0.76124,0.96142,0,0.5841,0.7373,0.64336,0.5419,0.5841,0.7373,0.64271,0.54904,0.64641,1.42885,1.48116,1.13433,0,0.0001238,0.0001238,0.0001238
40,624.912,0.42537,0.86766,0.7156,0.96259,0,0.62101,0.67357,0.63622,0.53319,0.62101,0.67357,0.63397,0.54115,0.64715,1.46966,1.46981,1.16995,0,0.0001139,0.0001139,0.0001139
41,643.15,0.50067,0.85214,1.00697,1.06039,0,0.69447,0.55659,0.58717,0.47922,0.67803,0.54385,0.57009,0.49169,0.66659,1.70206,1.62209,1.19511,0,0.000104,0.000104,0.000104
42,659.23,0.43529,0.74272,0.80822,1.02224,0,0.63557,0.56288,0.55986,0.46782,0.63557,0.56288,0.56196,0.48545,0.66093,1.6791,1.73874,1.14209,0,9.41e-05,9.41e-05,9.41e-05
43,675.778,0.41742,0.75789,0.78359,1.0181,0,0.58607,0.68315,0.58405,0.49597,0.58607,0.68315,0.58383,0.51918,0.64022,1.67117,1.70604,1.16088,0,8.42e-05,8.42e-05,8.42e-05
44,690.697,0.40802,0.71232,0.73386,1.0125,0,0.56474,0.72684,0.62117,0.52437,0.56474,0.72684,0.61804,0.53921,0.65356,1.68661,1.52858,1.17096,0,7.43e-05,7.43e-05,7.43e-05
45,703.81,0.39917,0.6803,0.70667,0.98021,0,0.65264,0.56959,0.60736,0.50837,0.65264,0.56959,0.60242,0.52274,0.64648,1.58614,1.53312,1.1661,0,6.44e-05,6.44e-05,6.44e-05
46,717.171,0.39129,0.65385,0.67931,0.99913,0,0.58289,0.70696,0.60615,0.51816,0.58289,0.70696,0.60544,0.53267,0.63486,1.48967,1.58651,1.16679,0,5.45e-05,5.45e-05,5.45e-05
47,730.447,0.3891,0.62713,0.69959,0.98674,0,0.56282,0.71541,0.60774,0.51467,0.56282,0.71541,0.60665,0.52833,0.61657,1.47439,1.57337,1.14393,0,4.46e-05,4.46e-05,4.46e-05
48,743.687,0.36425,0.64414,0.64887,0.96537,0,0.5879,0.73113,0.61963,0.52851,0.5879,0.73113,0.61779,0.53583,0.6049,1.51712,1.5094,1.13255,0,3.47e-05,3.47e-05,3.47e-05
49,756.727,0.38196,0.65613,0.61685,0.98352,0,0.58312,0.7326,0.64302,0.55225,0.58312,0.7326,0.64352,0.56111,0.58747,1.49862,1.49496,1.13624,0,2.48e-05,2.48e-05,2.48e-05
50,769.811,0.36471,0.63442,0.61291,0.94531,0,0.59783,0.7506,0.64073,0.54801,0.59783,0.7506,0.64145,0.5591,0.58741,1.47594,1.46958,1.13722,0,1.49e-05,1.49e-05,1.49e-05
