epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,414.8,0.74648,0.52043,1.87152,1.17662,0,0.6046,0.67098,0.68377,0.61656,0.6046,0.67098,0.68377,0.61373,0.45291,0.17166,2.10117,0.92428,0,0.0001238,0.0001238,0.0001238
40,425.471,0.74773,0.57483,1.88298,1.1682,0,0.55325,0.675,0.67763,0.60604,0.55325,0.675,0.67763,0.60912,0.44756,0.17029,2.10337,0.91767,0,0.0001139,0.0001139,0.0001139
41,437.028,0.66566,0.44897,2.75192,1.2237,0,0.69356,0.57863,0.68849,0.57774,0.69356,0.57863,0.68849,0.58242,0.52398,0.18671,2.13276,1.00214,0,0.000104,0.000104,0.000104
42,447.582,0.65554,0.43796,2.6536,1.22965,0,0.57515,0.61389,0.64934,0.53463,0.57515,0.61389,0.64934,0.53704,0.55878,0.1935,2.2301,1.03682,0,9.41e-05,9.41e-05,9.41e-05
43,458.126,0.63459,0.45246,2.68205,1.20268,0,0.60483,0.61389,0.66789,0.5492,0.60483,0.61389,0.66789,0.5437,0.57362,0.19365,2.26639,1.05246,0,8.42e-05,8.42e-05,8.42e-05
44,468.655,0.63318,0.44971,2.65425,1.19441,0,0.61516,0.60635,0.65545,0.53273,0.61516,0.60635,0.65545,0.53528,0.57537,0.19192,2.28306,1.06135,0,7.43e-05,7.43e-05,7.43e-05
45,479.19,0.65245,0.46094,2.65368,1.22402,0,0.65362,0.59598,0.65666,0.54325,0.65362,0.59598,0.65666,0.53936,0.56311,0.19271,2.29081,1.05166,0,6.44e-05,6.44e-05,6.44e-05
46,489.736,0.6177,0.41749,2.65216,1.17666,0,0.66201,0.61045,0.6496,0.53786,0.66201,0.61045,0.6496,0.5373,0.56225,0.1924,2.29751,1.05327,0,5.45e-05,5.45e-05,5.45e-05
47,500.271,0.59937,0.44056,2.54993,1.1937,0,0.6032,0.61389,0.6551,0.54315,0.6032,0.61389,0.6551,0.53864,0.55416,0.19306,2.26971,1.0448,0,4.46e-05,4.46e-05,4.46e-05
48,510.833,0.5883,0.40436,2.51272,1.14807,0,0.58349,0.57222,0.64422,0.54204,0.58349,0.57222,0.64422,0.5394,0.54548,0.1915,2.24707,1.03672,0,3.47e-05,3.47e-05,3.47e-05
49,521.414,0.56862,0.45128,2.55197,1.1642,0,0.5946,0.50703,0.6727,0.57378,0.5946,0.50703,0.6727,0.56738,0.52776,0.19222,2.22754,1.0225,0,2.48e-05,2.48e-05,2.48e-05
50,532,0.61122,0.42922,2.5694,1.17561,0,0.442,0.61389,0.65245,0.55989,0.442,0.61389,0.65245,0.55496,0.52793,0.1919,2.23907,1.02107,0,1.49e-05,1.49e-05,1.49e-05
